Time and date',ECG,PPG
[11:28:02.836 14/08/1994]',0.015,84.969
[11:28:02.838 14/08/1994]',0.015,84.969
[11:28:02.840 14/08/1994]',0.008,83.489
[11:28:02.842 14/08/1994]',0.001,83.489
[11:28:02.844 14/08/1994]',-0.007,83.489
[11:28:02.846 14/08/1994]',-0.014,83.489
[11:28:02.848 14/08/1994]',-0.022,81.698
[11:28:02.850 14/08/1994]',-0.029,81.698
[11:28:02.852 14/08/1994]',-0.029,81.698
[11:28:02.854 14/08/1994]',-0.036,81.698
[11:28:02.856 14/08/1994]',-0.036,79.595
[11:28:02.858 14/08/1994]',-0.029,79.595
[11:28:02.860 14/08/1994]',-0.029,79.595
[11:28:02.862 14/08/1994]',-0.029,79.595
[11:28:02.864 14/08/1994]',-0.029,77.414
[11:28:02.866 14/08/1994]',-0.029,77.414
[11:28:02.868 14/08/1994]',-0.029,77.414
[11:28:02.870 14/08/1994]',-0.036,77.414
[11:28:02.872 14/08/1994]',-0.036,75.234
[11:28:02.874 14/08/1994]',-0.044,75.234
[11:28:02.876 14/08/1994]',-0.044,75.234
[11:28:02.878 14/08/1994]',-0.051,75.234
[11:28:02.880 14/08/1994]',-0.051,72.975
[11:28:02.882 14/08/1994]',-0.051,72.975
[11:28:02.884 14/08/1994]',-0.044,72.975
[11:28:02.886 14/08/1994]',-0.051,72.975
[11:28:02.888 14/08/1994]',-0.051,70.561
[11:28:02.890 14/08/1994]',-0.051,70.561
[11:28:02.892 14/08/1994]',-0.051,70.561
[11:28:02.894 14/08/1994]',-0.044,70.561
[11:28:02.896 14/08/1994]',-0.044,68.224
[11:28:02.898 14/08/1994]',-0.029,68.224
[11:28:02.900 14/08/1994]',-0.029,68.224
[11:28:02.902 14/08/1994]',-0.036,68.224
[11:28:02.904 14/08/1994]',-0.036,65.966
[11:28:02.906 14/08/1994]',-0.036,65.966
[11:28:02.908 14/08/1994]',-0.044,65.966
[11:28:02.910 14/08/1994]',-0.044,65.966
[11:28:02.912 14/08/1994]',-0.029,63.941
[11:28:02.914 14/08/1994]',-0.036,63.941
[11:28:02.916 14/08/1994]',-0.029,63.941
[11:28:02.918 14/08/1994]',-0.029,63.941
[11:28:02.920 14/08/1994]',-0.029,62.305
[11:28:02.922 14/08/1994]',-0.036,62.305
[11:28:02.924 14/08/1994]',-0.044,62.305
[11:28:02.926 14/08/1994]',-0.044,62.305
[11:28:02.928 14/08/1994]',-0.044,61.215
[11:28:02.930 14/08/1994]',-0.044,61.215
[11:28:02.932 14/08/1994]',-0.044,61.215
[11:28:02.934 14/08/1994]',-0.044,61.215
[11:28:02.936 14/08/1994]',-0.036,60.514
[11:28:02.938 14/08/1994]',-0.044,60.514
[11:28:02.940 14/08/1994]',-0.036,60.514
[11:28:02.942 14/08/1994]',-0.036,60.514
[11:28:02.944 14/08/1994]',-0.029,60.358
[11:28:02.946 14/08/1994]',-0.029,60.358
[11:28:02.948 14/08/1994]',-0.029,60.358
[11:28:02.950 14/08/1994]',-0.029,60.358
[11:28:02.952 14/08/1994]',-0.029,60.436
[11:28:02.954 14/08/1994]',-0.022,60.436
[11:28:02.956 14/08/1994]',-0.036,60.436
[11:28:02.958 14/08/1994]',-0.029,60.436
[11:28:02.960 14/08/1994]',-0.029,60.514
[11:28:02.962 14/08/1994]',-0.029,60.514
[11:28:02.964 14/08/1994]',-0.036,60.514
[11:28:02.966 14/08/1994]',-0.044,60.514
[11:28:02.968 14/08/1994]',-0.044,60.592
[11:28:02.970 14/08/1994]',-0.036,60.592
[11:28:02.972 14/08/1994]',-0.044,60.592
[11:28:02.974 14/08/1994]',-0.036,60.592
[11:28:02.976 14/08/1994]',-0.036,60.514
[11:28:02.978 14/08/1994]',-0.036,60.514
[11:28:02.980 14/08/1994]',-0.029,60.514
[11:28:02.982 14/08/1994]',-0.029,60.514
[11:28:02.984 14/08/1994]',-0.029,60.436
[11:28:02.986 14/08/1994]',-0.029,60.436
[11:28:02.988 14/08/1994]',-0.029,60.436
[11:28:02.990 14/08/1994]',-0.029,60.436
[11:28:02.992 14/08/1994]',-0.029,60.28
[11:28:02.994 14/08/1994]',-0.022,60.28
[11:28:02.996 14/08/1994]',-0.014,60.28
[11:28:02.998 14/08/1994]',-0.014,60.28
[11:28:03.000 14/08/1994]',-0.007,60.125
[11:28:03.002 14/08/1994]',-0.014,60.125
[11:28:03.004 14/08/1994]',-0.029,60.125
[11:28:03.006 14/08/1994]',-0.044,60.125
[11:28:03.008 14/08/1994]',-0.074,59.969
[11:28:03.010 14/08/1994]',-0.11,59.969
[11:28:03.012 14/08/1994]',-0.17,59.969
[11:28:03.014 14/08/1994]',-0.221,59.969
[11:28:03.016 14/08/1994]',-0.296,59.813
[11:28:03.018 14/08/1994]',-0.377,59.813
[11:28:03.020 14/08/1994]',-0.466,59.813
[11:28:03.022 14/08/1994]',-0.54,59.813
[11:28:03.024 14/08/1994]',-0.614,59.579
[11:28:03.026 14/08/1994]',-,59.579
[11:28:03.028 14/08/1994]',-,59.579
[11:28:03.030 14/08/1994]',-,59.579
[11:28:03.032 14/08/1994]',-,59.346
[11:28:03.034 14/08/1994]',-,59.346
[11:28:03.036 14/08/1994]',-,59.346
[11:28:03.038 14/08/1994]',-,59.346
[11:28:03.040 14/08/1994]',-,59.034
[11:28:03.042 14/08/1994]',-,59.034
[11:28:03.044 14/08/1994]',-,59.034
[11:28:03.046 14/08/1994]',-,59.034
[11:28:03.048 14/08/1994]',-,58.567
[11:28:03.050 14/08/1994]',-,58.567
[11:28:03.052 14/08/1994]',-,58.567
[11:28:03.054 14/08/1994]',-0.621,58.567
[11:28:03.056 14/08/1994]',-0.54,58.1
[11:28:03.058 14/08/1994]',-0.466,58.1
[11:28:03.060 14/08/1994]',-0.399,58.1
[11:28:03.062 14/08/1994]',-0.332,58.1
[11:28:03.064 14/08/1994]',-0.281,57.632
[11:28:03.066 14/08/1994]',-0.229,57.632
[11:28:03.068 14/08/1994]',-0.199,57.632
[11:28:03.070 14/08/1994]',-0.17,57.632
[11:28:03.072 14/08/1994]',-0.147,57.087
[11:28:03.074 14/08/1994]',-0.118,57.087
[11:28:03.076 14/08/1994]',-0.088,57.087
[11:28:03.078 14/08/1994]',-0.066,57.087
[11:28:03.080 14/08/1994]',-0.044,56.698
[11:28:03.082 14/08/1994]',-0.022,56.698
[11:28:03.084 14/08/1994]',-0.014,56.698
[11:28:03.086 14/08/1994]',0.001,56.698
[11:28:03.088 14/08/1994]',0.023,56.308
[11:28:03.090 14/08/1994]',0.03,56.308
[11:28:03.092 14/08/1994]',0.037,56.308
[11:28:03.094 14/08/1994]',0.045,56.308
[11:28:03.096 14/08/1994]',0.052,55.997
[11:28:03.098 14/08/1994]',0.067,55.997
[11:28:03.100 14/08/1994]',0.075,55.997
[11:28:03.102 14/08/1994]',0.089,55.997
[11:28:03.104 14/08/1994]',0.104,55.607
[11:28:03.106 14/08/1994]',0.119,55.607
[11:28:03.108 14/08/1994]',0.134,55.607
[11:28:03.110 14/08/1994]',0.134,55.607
[11:28:03.112 14/08/1994]',0.134,55.14
[11:28:03.114 14/08/1994]',0.134,55.14
